week,year,week_number,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir
11/27/11,2011,48,25.333333333333332,41.0,26.576271186440678,34.5,11.255813953488373,20.32941176470588,0.0,0.0,6.0,0.0
12/4/11,2011,49,16.88888888888889,22.0,23.771428571428572,32.340425531914896,9.529411764705882,37.4,0.0,0.0,1.0,0.0
12/11/11,2011,50,16.88888888888889,22.0,20.114285714285714,11.914893617021276,8.470588235294118,33.0,0.0,0.0,1.0,0.0
12/18/11,2011,51,17.77777777777778,11.0,14.628571428571428,13.617021276595745,7.411764705882353,17.6,0.0,0.0,4.0,0.0
12/25/11,2011,52,28.444444444444443,11.0,5.485714285714286,22.127659574468087,10.588235294117647,22.0,0.0,0.0,1.0,0.0
1/1/12,2012,1,39.6484375,10.0,11.428571428571429,8.085106382978724,9.0,4.16,0.0,0.0,1.6666666666666667,0.0
1/8/12,2012,2,49.21875,10.0,7.142857142857143,2.978723404255319,9.0,13.52,0.0,0.0,1.0,0.0
1/15/12,2012,3,35.0,10.0,8.571428571428571,2.978723404255319,9.0,15.08,0.0,0.0,1.6666666666666667,0.0
1/22/12,2012,4,36.9140625,10.0,5.714285714285714,2.978723404255319,10.125,15.08,0.0,0.0,1.6666666666666667,0.0
1/29/12,2012,5,49.21875,10.0,7.142857142857143,2.978723404255319,7.875,17.16,0.0,0.0,1.0,0.0
2/5/12,2012,6,18.823529411764707,11.0,2.1333333333333333,16.0,7.17948717948718,38.495049504950494,9.0,88.0,8.0,0.0
2/12/12,2012,7,36.60130718954248,11.0,6.4,17.92,12.307692307692308,29.940594059405942,9.0,352.0,2.0,0.0
2/19/12,2012,8,57.51633986928105,11.0,5.333333333333333,17.92,13.333333333333334,16.03960396039604,9.0,88.0,2.0,0.0
2/26/12,2012,9,47.05882352941177,44.0,2.1333333333333333,28.16,7.17948717948718,23.524752475247524,9.0,88.0,2.0,0.0
3/4/12,2012,10,26.352941176470587,0.0,7.111111111111111,15.0,6.0,15.172413793103448,0.0,87.0,3.0,0.0
3/11/12,2012,11,17.88235294117647,0.0,4.0,20.869565217391305,8.4,19.2183908045977,0.0,87.0,3.0,0.0
3/18/12,2012,12,17.88235294117647,0.0,5.333333333333333,20.869565217391305,4.8,27.310344827586206,0.0,87.0,3.0,0.0
3/25/12,2012,13,17.88235294117647,0.0,3.5555555555555554,18.26086956521739,4.8,26.298850574712645,0.0,348.0,3.0,0.0
4/1/12,2012,14,23.75,0.0,3.0,5.0,6.9230769230769225,9.065934065934066,10.0,0.0,1.9047619047619047,0.0
